Trace,Date and Time,Trx Branch Code,Teller ID,Trx Code,Trx Reference Number,Company CMS Code,Destination Cyc,Amount,Customer Code,Invoice/Bill Number,Statement Ref No
201102092350,02-nov-2020 09:23:50,1,hub000102,O9_HUB01,201102000000011610,863,MMK,1000,-,-,1|hub000102|201102000000011610|O9_HUB01|863|02112020092350|MMK1000|-|-
676,27-nov-2020 11:15:20,2,1743,O9_HUB05,201127000000012325,863,MMK,100,,,2|1743|201127000000012325|O9_HUB05|863|27112020111520|MMK100||
677,27-nov-2020 11:15:22,2,1743,O9_HUB05,201127000000012326,863,MMK,100,,,2|1743|201127000000012326|O9_HUB05|863|27112020111522|MMK100||
678,27-nov-2020 11:15:25,2,1743,O9_HUB05,201127000000012327,863,MMK,100,,,2|1743|201127000000012327|O9_HUB05|863|27112020111525|MMK100||
679,27-nov-2020 11:15:27,2,1743,O9_HUB05,201127000000012328,863,MMK,100,,,2|1743|201127000000012328|O9_HUB05|863|27112020111527|MMK100||
680,27-nov-2020 11:15:53,2,1743,O9_HUB05,201127000000012329,863,MMK,100,,,2|1743|201127000000012329|O9_HUB05|863|27112020111553|MMK100||
681,27-nov-2020 11:15:55,2,1743,O9_HUB05,201127000000012330,863,MMK,100,,,2|1743|201127000000012330|O9_HUB05|863|27112020111555|MMK100||
687,27-nov-2020 13:27:51,2,1743,O9_HUB05,201127000000012336,863,MMK,100,,,2|1743|201127000000012336|O9_HUB05|863|27112020132751|MMK100||
688,27-nov-2020 13:27:54,2,1743,O9_HUB05,201127000000012337,863,MMK,100,,,2|1743|201127000000012337|O9_HUB05|863|27112020132754|MMK100||
689,27-nov-2020 13:27:57,2,1743,O9_HUB05,201127000000012338,863,MMK,100,,,2|1743|201127000000012338|O9_HUB05|863|27112020132757|MMK100||
690,27-nov-2020 13:27:59,2,1743,O9_HUB05,201127000000012339,863,MMK,100,,,2|1743|201127000000012339|O9_HUB05|863|27112020132759|MMK100||
691,27-nov-2020 13:28:01,2,1743,O9_HUB05,201127000000012340,863,MMK,100,,,2|1743|201127000000012340|O9_HUB05|863|27112020132801|MMK100||
692,27-nov-2020 13:28:04,2,1743,O9_HUB05,201127000000012341,863,MMK,100,,,2|1743|201127000000012341|O9_HUB05|863|27112020132804|MMK100||
693,27-nov-2020 13:28:06,2,1743,O9_HUB05,201127000000012342,863,MMK,100,,,2|1743|201127000000012342|O9_HUB05|863|27112020132806|MMK100||
694,27-nov-2020 13:28:09,2,1743,O9_HUB05,201127000000012343,863,MMK,100,,,2|1743|201127000000012343|O9_HUB05|863|27112020132809|MMK100||
695,27-nov-2020 13:28:12,2,1743,O9_HUB05,201127000000012344,863,MMK,100,,,2|1743|201127000000012344|O9_HUB05|863|27112020132812|MMK100||
696,27-nov-2020 13:28:14,2,1743,O9_HUB05,201127000000012345,863,MMK,100,,,2|1743|201127000000012345|O9_HUB05|863|27112020132814|MMK100||
697,27-nov-2020 18:21:51,2,1743,O9_HUB05,201127000000012346,863,MMK,100,,,2|1743|201127000000012346|O9_HUB05|863|27112020182151|MMK100||
698,27-nov-2020 18:21:52,2,1743,O9_HUB05,201127000000012347,863,MMK,100,,,2|1743|201127000000012347|O9_HUB05|863|27112020182152|MMK100||
699,27-nov-2020 18:21:53,2,1743,O9_HUB05,201127000000012348,863,MMK,100,,,2|1743|201127000000012348|O9_HUB05|863|27112020182153|MMK100||
700,27-nov-2020 18:21:54,2,1743,O9_HUB05,201127000000012349,863,MMK,100,,,2|1743|201127000000012349|O9_HUB05|863|27112020182154|MMK100||
702,27-nov-2020 18:21:55,2,1743,O9_HUB05,201127000000012351,863,MMK,100,,,2|1743|201127000000012351|O9_HUB05|863|27112020182155|MMK100||
703,27-nov-2020 18:21:56,2,1743,O9_HUB05,201127000000012352,863,MMK,100,,,2|1743|201127000000012352|O9_HUB05|863|27112020182156|MMK100||
704,27-nov-2020 18:21:57,2,1743,O9_HUB05,201127000000012353,863,MMK,100,,,2|1743|201127000000012353|O9_HUB05|863|27112020182157|MMK100||
705,27-nov-2020 18:21:58,2,1743,O9_HUB05,201127000000012354,863,MMK,100,,,2|1743|201127000000012354|O9_HUB05|863|27112020182158|MMK100||
706,27-nov-2020 18:21:59,2,1743,O9_HUB05,201127000000012355,863,MMK,100,,,2|1743|201127000000012355|O9_HUB05|863|27112020182159|MMK100||
709,27-nov-2020 18:22:01,2,1743,O9_HUB05,201127000000012358,863,MMK,100,,,2|1743|201127000000012358|O9_HUB05|863|27112020182201|MMK100||
710,27-nov-2020 18:22:02,2,1743,O9_HUB05,201127000000012359,863,MMK,100,,,2|1743|201127000000012359|O9_HUB05|863|27112020182202|MMK100||
711,27-nov-2020 18:22:03,2,1743,O9_HUB05,201127000000012360,863,MMK,100,,,2|1743|201127000000012360|O9_HUB05|863|27112020182203|MMK100||
713,27-nov-2020 18:22:04,2,1743,O9_HUB05,201127000000012362,863,MMK,100,,,2|1743|201127000000012362|O9_HUB05|863|27112020182204|MMK100||
714,27-nov-2020 18:22:05,2,1743,O9_HUB05,201127000000012363,863,MMK,100,,,2|1743|201127000000012363|O9_HUB05|863|27112020182205|MMK100||
715,27-nov-2020 18:22:06,2,1743,O9_HUB05,201127000000012364,863,MMK,100,,,2|1743|201127000000012364|O9_HUB05|863|27112020182206|MMK100||
718,27-nov-2020 18:22:15,2,1743,O9_HUB05,201127000000012367,863,MMK,100,,,2|1743|201127000000012367|O9_HUB05|863|27112020182215|MMK100||
722,27-nov-2020 18:22:16,2,1743,O9_HUB05,201127000000012371,863,MMK,100,,,2|1743|201127000000012371|O9_HUB05|863|27112020182216|MMK100||
719,27-nov-2020 18:22:16,2,1743,O9_HUB05,201127000000012368,863,MMK,100,,,2|1743|201127000000012368|O9_HUB05|863|27112020182216|MMK100||
724,27-nov-2020 18:22:17,2,1743,O9_HUB05,201127000000012373,863,MMK,100,,,2|1743|201127000000012373|O9_HUB05|863|27112020182217|MMK100||
725,27-nov-2020 18:22:19,2,1743,O9_HUB05,201127000000012374,863,MMK,100,,,2|1743|201127000000012374|O9_HUB05|863|27112020182219|MMK100||
726,27-nov-2020 18:22:23,2,1743,O9_HUB05,201127000000012375,863,MMK,100,,,2|1743|201127000000012375|O9_HUB05|863|27112020182223|MMK100||
731,27-nov-2020 18:22:24,2,1743,O9_HUB05,201127000000012380,863,MMK,100,,,2|1743|201127000000012380|O9_HUB05|863|27112020182224|MMK100||
727,27-nov-2020 18:22:24,2,1743,O9_HUB05,201127000000012376,863,MMK,100,,,2|1743|201127000000012376|O9_HUB05|863|27112020182224|MMK100||
734,27-nov-2020 18:22:25,2,1743,O9_HUB05,201127000000012383,863,MMK,100,,,2|1743|201127000000012383|O9_HUB05|863|27112020182225|MMK100||
736,27-nov-2020 18:24:14,2,1743,O9_HUB05,201127000000012385,863,MMK,100,,,2|1743|201127000000012385|O9_HUB05|863|27112020182414|MMK100||
735,27-nov-2020 18:24:14,2,1743,O9_HUB05,201127000000012384,863,MMK,100,,,2|1743|201127000000012384|O9_HUB05|863|27112020182414|MMK100||
737,27-nov-2020 18:24:16,2,1743,O9_HUB05,201127000000012386,863,MMK,100,,,2|1743|201127000000012386|O9_HUB05|863|27112020182416|MMK100||
738,27-nov-2020 18:24:17,2,1743,O9_HUB05,201127000000012387,863,MMK,100,,,2|1743|201127000000012387|O9_HUB05|863|27112020182417|MMK100||
739,27-nov-2020 18:24:18,2,1743,O9_HUB05,201127000000012388,863,MMK,100,,,2|1743|201127000000012388|O9_HUB05|863|27112020182418|MMK100||
740,27-nov-2020 18:24:33,2,1743,O9_HUB05,201127000000012389,863,MMK,100,,,2|1743|201127000000012389|O9_HUB05|863|27112020182433|MMK100||
741,27-nov-2020 18:24:34,2,1743,O9_HUB05,201127000000012390,863,MMK,100,,,2|1743|201127000000012390|O9_HUB05|863|27112020182434|MMK100||
744,27-nov-2020 18:24:36,2,1743,O9_HUB05,201127000000012393,863,MMK,100,,,2|1743|201127000000012393|O9_HUB05|863|27112020182436|MMK100||
743,27-nov-2020 18:24:36,2,1743,O9_HUB05,201127000000012392,863,MMK,100,,,2|1743|201127000000012392|O9_HUB05|863|27112020182436|MMK100||
745,27-nov-2020 18:24:37,2,1743,O9_HUB05,201127000000012394,863,MMK,100,,,2|1743|201127000000012394|O9_HUB05|863|27112020182437|MMK100||
746,27-nov-2020 18:24:37,2,1743,O9_HUB05,201127000000012395,863,MMK,100,,,2|1743|201127000000012395|O9_HUB05|863|27112020182437|MMK100||
747,27-nov-2020 18:24:38,2,1743,O9_HUB05,201127000000012396,863,MMK,100,,,2|1743|201127000000012396|O9_HUB05|863|27112020182438|MMK100||
748,27-nov-2020 18:24:39,2,1743,O9_HUB05,201127000000012397,863,MMK,100,,,2|1743|201127000000012397|O9_HUB05|863|27112020182439|MMK100||
749,27-nov-2020 18:24:40,2,1743,O9_HUB05,201127000000012398,863,MMK,100,,,2|1743|201127000000012398|O9_HUB05|863|27112020182440|MMK100||
750,27-nov-2020 18:24:55,2,1743,O9_HUB05,201127000000012399,863,MMK,100,,,2|1743|201127000000012399|O9_HUB05|863|27112020182455|MMK100||
752,27-nov-2020 18:24:55,2,1743,O9_HUB05,201127000000012401,863,MMK,100,,,2|1743|201127000000012401|O9_HUB05|863|27112020182455|MMK100||
753,27-nov-2020 18:24:56,2,1743,O9_HUB05,201127000000012402,863,MMK,100,,,2|1743|201127000000012402|O9_HUB05|863|27112020182456|MMK100||
754,27-nov-2020 18:25:22,2,1743,O9_HUB05,201127000000012403,863,MMK,100,,,2|1743|201127000000012403|O9_HUB05|863|27112020182522|MMK100||
756,27-nov-2020 18:25:34,2,1743,O9_HUB05,201127000000012405,863,MMK,100,,,2|1743|201127000000012405|O9_HUB05|863|27112020182534|MMK100||
757,27-nov-2020 18:25:34,2,1743,O9_HUB05,201127000000012406,863,MMK,100,,,2|1743|201127000000012406|O9_HUB05|863|27112020182534|MMK100||
758,27-nov-2020 18:25:36,2,1743,O9_HUB05,201127000000012407,863,MMK,100,,,2|1743|201127000000012407|O9_HUB05|863|27112020182536|MMK100||
760,27-nov-2020 18:25:37,2,1743,O9_HUB05,201127000000012409,863,MMK,100,,,2|1743|201127000000012409|O9_HUB05|863|27112020182537|MMK100||
763,27-nov-2020 18:25:38,2,1743,O9_HUB05,201127000000012412,863,MMK,100,,,2|1743|201127000000012412|O9_HUB05|863|27112020182538|MMK100||
764,27-nov-2020 18:25:42,2,1743,O9_HUB05,201127000000012413,863,MMK,100,,,2|1743|201127000000012413|O9_HUB05|863|27112020182542|MMK100||
769,27-nov-2020 18:25:43,2,1743,O9_HUB05,201127000000012418,863,MMK,100,,,2|1743|201127000000012418|O9_HUB05|863|27112020182543|MMK100||
773,27-nov-2020 18:28:16,2,1743,O9_HUB05,201127000000012422,863,MMK,100,,,2|1743|201127000000012422|O9_HUB05|863|27112020182816|MMK100||
774,27-nov-2020 18:28:18,2,1743,O9_HUB05,201127000000012423,863,MMK,100,,,2|1743|201127000000012423|O9_HUB05|863|27112020182818|MMK100||
776,27-nov-2020 18:28:19,2,1743,O9_HUB05,201127000000012425,863,MMK,100,,,2|1743|201127000000012425|O9_HUB05|863|27112020182819|MMK100||
777,27-nov-2020 18:28:20,2,1743,O9_HUB05,201127000000012426,863,MMK,100,,,2|1743|201127000000012426|O9_HUB05|863|27112020182820|MMK100||
778,27-nov-2020 18:28:36,2,1743,O9_HUB05,201127000000012427,863,MMK,100,,,2|1743|201127000000012427|O9_HUB05|863|27112020182836|MMK100||
779,27-nov-2020 18:28:38,2,1743,O9_HUB05,201127000000012428,863,MMK,100,,,2|1743|201127000000012428|O9_HUB05|863|27112020182838|MMK100||
782,27-nov-2020 18:28:39,2,1743,O9_HUB05,201127000000012431,863,MMK,100,,,2|1743|201127000000012431|O9_HUB05|863|27112020182839|MMK100||
783,27-nov-2020 18:28:40,2,1743,O9_HUB05,201127000000012432,863,MMK,100,,,2|1743|201127000000012432|O9_HUB05|863|27112020182840|MMK100||
786,27-nov-2020 18:28:41,2,1743,O9_HUB05,201127000000012435,863,MMK,100,,,2|1743|201127000000012435|O9_HUB05|863|27112020182841|MMK100||
787,27-nov-2020 18:28:42,2,1743,O9_HUB05,201127000000012436,863,MMK,100,,,2|1743|201127000000012436|O9_HUB05|863|27112020182842|MMK100||
788,27-nov-2020 18:28:56,2,1743,O9_HUB05,201127000000012437,863,MMK,100,,,2|1743|201127000000012437|O9_HUB05|863|27112020182856|MMK100||
789,27-nov-2020 18:28:57,2,1743,O9_HUB05,201127000000012438,863,MMK,100,,,2|1743|201127000000012438|O9_HUB05|863|27112020182857|MMK100||
790,27-nov-2020 18:28:59,2,1743,O9_HUB05,201127000000012439,863,MMK,100,,,2|1743|201127000000012439|O9_HUB05|863|27112020182859|MMK100||
791,27-nov-2020 18:29:00,2,1743,O9_HUB05,201127000000012440,863,MMK,100,,,2|1743|201127000000012440|O9_HUB05|863|27112020182900|MMK100||
792,27-nov-2020 18:29:25,2,1743,O9_HUB05,201127000000012441,863,MMK,100,,,2|1743|201127000000012441|O9_HUB05|863|27112020182925|MMK100||
793,27-nov-2020 18:29:36,2,1743,O9_HUB05,201127000000012442,863,MMK,100,,,2|1743|201127000000012442|O9_HUB05|863|27112020182936|MMK100||
794,27-nov-2020 18:29:36,2,1743,O9_HUB05,201127000000012443,863,MMK,100,,,2|1743|201127000000012443|O9_HUB05|863|27112020182936|MMK100||
795,27-nov-2020 18:29:38,2,1743,O9_HUB05,201127000000012444,863,MMK,100,,,2|1743|201127000000012444|O9_HUB05|863|27112020182938|MMK100||
797,27-nov-2020 18:29:38,2,1743,O9_HUB05,201127000000012446,863,MMK,100,,,2|1743|201127000000012446|O9_HUB05|863|27112020182938|MMK100||
798,27-nov-2020 18:29:40,2,1743,O9_HUB05,201127000000012447,863,MMK,100,,,2|1743|201127000000012447|O9_HUB05|863|27112020182940|MMK100||
805,27-nov-2020 18:29:42,2,1743,O9_HUB05,201127000000012454,863,MMK,100,,,2|1743|201127000000012454|O9_HUB05|863|27112020182942|MMK100||
808,27-nov-2020 18:29:43,2,1743,O9_HUB05,201127000000012457,863,MMK,100,,,2|1743|201127000000012457|O9_HUB05|863|27112020182943|MMK100||
810,27-nov-2020 18:29:43,2,1743,O9_HUB05,201127000000012459,863,MMK,100,,,2|1743|201127000000012459|O9_HUB05|863|27112020182943|MMK100||
813,27-nov-2020 18:30:08,2,1743,O9_HUB05,201127000000012462,863,MMK,100,,,2|1743|201127000000012462|O9_HUB05|863|27112020183008|MMK100||
819,27-nov-2020 18:30:18,2,1743,O9_HUB05,201127000000012468,863,MMK,100,,,2|1743|201127000000012468|O9_HUB05|863|27112020183018|MMK100||
822,27-nov-2020 18:30:19,2,1743,O9_HUB05,201127000000012471,863,MMK,100,,,2|1743|201127000000012471|O9_HUB05|863|27112020183019|MMK100||
823,27-nov-2020 18:30:20,2,1743,O9_HUB05,201127000000012472,863,MMK,100,,,2|1743|201127000000012472|O9_HUB05|863|27112020183020|MMK100||
825,27-nov-2020 18:30:21,2,1743,O9_HUB05,201127000000012474,863,MMK,100,,,2|1743|201127000000012474|O9_HUB05|863|27112020183021|MMK100||
827,27-nov-2020 18:30:22,2,1743,O9_HUB05,201127000000012476,863,MMK,100,,,2|1743|201127000000012476|O9_HUB05|863|27112020183022|MMK100||
830,27-nov-2020 18:30:43,2,1743,O9_HUB05,201127000000012479,863,MMK,100,,,2|1743|201127000000012479|O9_HUB05|863|27112020183043|MMK100||
832,27-nov-2020 18:30:46,2,1743,O9_HUB05,201127000000012481,863,MMK,100,,,2|1743|201127000000012481|O9_HUB05|863|27112020183046|MMK100||
839,27-nov-2020 18:30:47,2,1743,O9_HUB05,201127000000012488,863,MMK,100,,,2|1743|201127000000012488|O9_HUB05|863|27112020183047|MMK100||
841,27-nov-2020 18:30:48,2,1743,O9_HUB05,201127000000012490,863,MMK,100,,,2|1743|201127000000012490|O9_HUB05|863|27112020183048|MMK100||
842,27-nov-2020 18:30:48,2,1743,O9_HUB05,201127000000012491,863,MMK,100,,,2|1743|201127000000012491|O9_HUB05|863|27112020183048|MMK100||
846,27-nov-2020 18:30:49,2,1743,O9_HUB05,201127000000012495,863,MMK,100,,,2|1743|201127000000012495|O9_HUB05|863|27112020183049|MMK100||
851,27-nov-2020 18:31:11,2,1743,O9_HUB05,201127000000012500,863,MMK,100,,,2|1743|201127000000012500|O9_HUB05|863|27112020183111|MMK100||
853,27-nov-2020 18:31:13,2,1743,O9_HUB05,201127000000012502,863,MMK,100,,,2|1743|201127000000012502|O9_HUB05|863|27112020183113|MMK100||
854,27-nov-2020 18:31:15,2,1743,O9_HUB05,201127000000012503,863,MMK,100,,,2|1743|201127000000012503|O9_HUB05|863|27112020183115|MMK100||
856,27-nov-2020 18:31:15,2,1743,O9_HUB05,201127000000012505,863,MMK,100,,,2|1743|201127000000012505|O9_HUB05|863|27112020183115|MMK100||
860,27-nov-2020 18:31:18,2,1743,O9_HUB05,201127000000012509,863,MMK,100,,,2|1743|201127000000012509|O9_HUB05|863|27112020183118|MMK100||
868,27-nov-2020 18:31:33,2,1743,O9_HUB05,201127000000012517,863,MMK,100,,,2|1743|201127000000012517|O9_HUB05|863|27112020183133|MMK100||
869,27-nov-2020 18:31:42,2,1743,O9_HUB05,201127000000012518,863,MMK,100,,,2|1743|201127000000012518|O9_HUB05|863|27112020183142|MMK100||
877,27-nov-2020 18:31:43,2,1743,O9_HUB05,201127000000012526,863,MMK,100,,,2|1743|201127000000012526|O9_HUB05|863|27112020183143|MMK100||
880,27-nov-2020 18:31:43,2,1743,O9_HUB05,201127000000012529,863,MMK,100,,,2|1743|201127000000012529|O9_HUB05|863|27112020183143|MMK100||
881,27-nov-2020 18:31:43,2,1743,O9_HUB05,201127000000012530,863,MMK,100,,,2|1743|201127000000012530|O9_HUB05|863|27112020183143|MMK100||
878,27-nov-2020 18:31:43,2,1743,O9_HUB05,201127000000012527,863,MMK,100,,,2|1743|201127000000012527|O9_HUB05|863|27112020183143|MMK100||
882,27-nov-2020 18:31:44,2,1743,O9_HUB05,201127000000012531,863,MMK,100,,,2|1743|201127000000012531|O9_HUB05|863|27112020183144|MMK100||
884,27-nov-2020 18:31:45,2,1743,O9_HUB05,201127000000012533,863,MMK,100,,,2|1743|201127000000012533|O9_HUB05|863|27112020183145|MMK100||
886,27-nov-2020 18:31:45,2,1743,O9_HUB05,201127000000012535,863,MMK,100,,,2|1743|201127000000012535|O9_HUB05|863|27112020183145|MMK100||
887,27-nov-2020 18:31:49,2,1743,O9_HUB05,201127000000012536,863,MMK,100,,,2|1743|201127000000012536|O9_HUB05|863|27112020183149|MMK100||
888,27-nov-2020 18:31:54,2,1743,O9_HUB05,201127000000012537,863,MMK,100,,,2|1743|201127000000012537|O9_HUB05|863|27112020183154|MMK100||
890,27-nov-2020 18:31:56,2,1743,O9_HUB05,201127000000012539,863,MMK,100,,,2|1743|201127000000012539|O9_HUB05|863|27112020183156|MMK100||
892,27-nov-2020 18:31:58,2,1743,O9_HUB05,201127000000012541,863,MMK,100,,,2|1743|201127000000012541|O9_HUB05|863|27112020183158|MMK100||
896,27-nov-2020 18:32:01,2,1743,O9_HUB05,201127000000012545,863,MMK,100,,,2|1743|201127000000012545|O9_HUB05|863|27112020183201|MMK100||
897,27-nov-2020 18:32:02,2,1743,O9_HUB05,201127000000012546,863,MMK,100,,,2|1743|201127000000012546|O9_HUB05|863|27112020183202|MMK100||
899,27-nov-2020 18:32:13,2,1743,O9_HUB05,201127000000012548,863,MMK,100,,,2|1743|201127000000012548|O9_HUB05|863|27112020183213|MMK100||
902,27-nov-2020 18:32:14,2,1743,O9_HUB05,201127000000012551,863,MMK,100,,,2|1743|201127000000012551|O9_HUB05|863|27112020183214|MMK100||
907,27-nov-2020 18:32:24,2,1743,O9_HUB05,201127000000012556,863,MMK,100,,,2|1743|201127000000012556|O9_HUB05|863|27112020183224|MMK100||
906,27-nov-2020 18:32:24,2,1743,O9_HUB05,201127000000012555,863,MMK,100,,,2|1743|201127000000012555|O9_HUB05|863|27112020183224|MMK100||
909,27-nov-2020 18:32:26,2,1743,O9_HUB05,201127000000012558,863,MMK,100,,,2|1743|201127000000012558|O9_HUB05|863|27112020183226|MMK100||
911,27-nov-2020 18:32:27,2,1743,O9_HUB05,201127000000012560,863,MMK,100,,,2|1743|201127000000012560|O9_HUB05|863|27112020183227|MMK100||
910,27-nov-2020 18:32:27,2,1743,O9_HUB05,201127000000012559,863,MMK,100,,,2|1743|201127000000012559|O9_HUB05|863|27112020183227|MMK100||
918,27-nov-2020 18:32:28,2,1743,O9_HUB05,201127000000012567,863,MMK,100,,,2|1743|201127000000012567|O9_HUB05|863|27112020183228|MMK100||
