Trace,Date and Time,Trx Branch Code,Teller ID,Trx Code,Trx Reference Number,Company CMS Code,Destination Cyc,Amount,Customer Code,Invoice/Bill Number,Statement Ref No
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001139,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001139|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001147,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001147|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001155,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001155|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001120,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001120|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001118,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001118|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001124,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001124|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001132,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001132|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001140,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001140|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001148,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001148|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001156,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001156|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001113,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001113|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001114,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001114|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001119,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001119|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001133,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001133|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001141,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001141|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001149,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001149|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001115,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001115|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001159,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001159|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001135,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001135|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001127,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001127|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001158,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001158|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001150,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001150|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918151716,2020-09-18 15:17:16.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001142,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001142|O9_HUB04|863|18092020151716|MMK700|01/01/02|YC-181243
200918130055,2020-09-18 13:00:55.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001112,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001112|O9_HUB04|863|18092020130055|MMK700|01/01/02|YC-181243
200918130055,2020-09-18 13:00:55.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001111,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001111|O9_HUB04|863|18092020130055|MMK700|01/01/02|YC-181243
200918130054,2020-09-18 13:00:54.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001108,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001108|O9_HUB04|863|18092020130054|MMK700|01/01/02|YC-181243
200918130054,2020-09-18 13:00:54.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001106,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001106|O9_HUB04|863|18092020130054|MMK700|01/01/02|YC-181243
200918130054,2020-09-18 13:00:54.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001101,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001101|O9_HUB04|863|18092020130054|MMK700|01/01/02|YC-181243
200918130054,2020-09-18 13:00:54.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001103,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001103|O9_HUB04|863|18092020130054|MMK700|01/01/02|YC-181243
200918130054,2020-09-18 13:00:54.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001100,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001100|O9_HUB04|863|18092020130054|MMK700|01/01/02|YC-181243
200918130054,2020-09-18 13:00:54.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001107,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001107|O9_HUB04|863|18092020130054|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001091,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001091|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001094,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001094|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001090,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001090|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001097,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001097|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001096,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001096|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001095,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001095|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001098,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001098|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001093,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001093|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001099,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001099|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130053,2020-09-18 13:00:53.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001092,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001092|O9_HUB04|863|18092020130053|MMK700|01/01/02|YC-181243
200918130052,2020-09-18 13:00:52.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001081,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001081|O9_HUB04|863|18092020130052|MMK700|01/01/02|YC-181243
200918130052,2020-09-18 13:00:52.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001088,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001088|O9_HUB04|863|18092020130052|MMK700|01/01/02|YC-181243
200918130052,2020-09-18 13:00:52.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001086,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001086|O9_HUB04|863|18092020130052|MMK700|01/01/02|YC-181243
200918130052,2020-09-18 13:00:52.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001087,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001087|O9_HUB04|863|18092020130052|MMK700|01/01/02|YC-181243
200918130052,2020-09-18 13:00:52.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001085,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001085|O9_HUB04|863|18092020130052|MMK700|01/01/02|YC-181243
200918130052,2020-09-18 13:00:52.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001083,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001083|O9_HUB04|863|18092020130052|MMK700|01/01/02|YC-181243
200918130051,2020-09-18 13:00:51.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001079,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001079|O9_HUB04|863|18092020130051|MMK700|01/01/02|YC-181243
200918130051,2020-09-18 13:00:51.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001080,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001080|O9_HUB04|863|18092020130051|MMK700|01/01/02|YC-181243
200918130050,2020-09-18 13:00:50.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001076,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001076|O9_HUB04|863|18092020130050|MMK700|01/01/02|YC-181243
200918130050,2020-09-18 13:00:50.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001077,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001077|O9_HUB04|863|18092020130050|MMK700|01/01/02|YC-181243
200918130050,2020-09-18 13:00:50.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001078,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001078|O9_HUB04|863|18092020130050|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001068,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001068|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001071,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001071|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001070,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001070|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001069,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001069|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001073,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001073|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001074,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001074|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001067,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001067|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001075,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001075|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125919,2020-09-18 12:59:19.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001072,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001072|O9_HUB04|863|18092020125919|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001048,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001048|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001063,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001063|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001047,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001047|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001052,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001052|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001054,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001054|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001059,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001059|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001057,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001057|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001051,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001051|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001045,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001045|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001062,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001062|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001061,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001061|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001043,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001043|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
200918125918,2020-09-18 12:59:18.0,1,thanhdat@gmailc.om,O9_HUB04,200918000000001053,863,MMK,700,01/01/02,YC-181243,1|thanhdat@gmailc.om|200918000000001053|O9_HUB04|863|18092020125918|MMK700|01/01/02|YC-181243
